date, number_of_issues, number_of_pull_requests, number_of_commits
2016-02-15, 11, 4, 18
2016-02-16, 21, 16, 49
2016-02-17, 24, 11, 43
2016-02-18, 27, 13, 59
2016-02-19, 26, 11, 28
2016-02-20, 9, 7, 31
2016-02-21, 13, 8, 12
2016-02-22, 13, 5, 37
2016-02-23, 21, 5, 33
2016-02-24, 17, 4, 24
2016-02-25, 11, 3, 47
2016-02-26, 20, 7, 40
2016-02-27, 11, 7, 16
2016-02-28, 7, 1, 4
2016-02-29, 6, 3, 24
2016-03-01, 16, 5, 33
2016-03-02, 12, 2, 33
2016-03-03, 15, 2, 37
2016-03-04, 10, 3, 30
2016-03-05, 6, 2, 15
2016-03-06, 15, 4, 12
2016-03-07, 15, 4, 31
2016-03-08, 14, 5, 32
2016-03-09, 7, 1, 27
2016-03-10, 13, 4, 36
2016-03-11, 9, 4, 25
2016-03-12, 10, 3, 18
2016-03-13, 10, 6, 12
2016-03-14, 12, 8, 31
2016-03-15, 21, 9, 54
2016-03-16, 8, 5, 26
2016-03-17, 7, 2, 26
2016-03-18, 12, 7, 51
2016-03-19, 11, 7, 18
2016-03-20, 3, 1, 5
2016-03-21, 14, 6, 30
2016-03-22, 9, 5, 50
2016-03-23, 28, 15, 59
2016-03-24, 20, 16, 54
2016-03-25, 16, 11, 50
2016-03-26, 13, 5, 10
2016-03-27, 11, 3, 5
2016-03-28, 8, 6, 36
2016-03-29, 22, 13, 43
2016-03-30, 14, 9, 43
2016-03-31, 19, 11, 32
2016-04-01, 10, 3, 24
2016-04-02, 6, 1, 9
2016-04-03, 7, 3, 4
2016-04-04, 14, 7, 25
2016-04-05, 12, 5, 27
2016-04-06, 19, 6, 15
2016-04-07, 12, 4, 35
2016-04-08, 13, 4, 28
2016-04-09, 6, 5, 10
2016-04-10, 7, 3, 4
2016-04-11, 22, 12, 24
2016-04-12, 35, 23, 41
2016-04-13, 32, 20, 40
2016-04-14, 24, 9, 36
2016-04-15, 18, 10, 44
2016-04-16, 18, 11, 14
2016-04-17, 12, 6, 5
2016-04-18, 8, 5, 19
2016-04-19, 18, 10, 26
2016-04-20, 12, 3, 42
2016-04-21, 18, 4, 24
2016-04-22, 11, 4, 22
2016-04-23, 7, 2, 6
2016-04-24, 7, 4, 1
2016-04-25, 20, 11, 29
2016-04-26, 17, 8, 23
2016-04-27, 20, 4, 17
2016-04-28, 20, 9, 35
2016-04-29, 10, 1, 17
2016-04-30, 9, 4, 8
2016-05-01, 10, 5, 8
2016-05-02, 9, 2, 28
2016-05-03, 13, 5, 21
