date,number_of_issues
4/16/2015,10
4/17/2015,11
4/18/2015,13
4/19/2015,3
4/20/2015,11
4/21/2015,11
4/22/2015,14
4/23/2015,7
4/24/2015,7
4/25/2015,5
4/26/2015,8
4/27/2015,4
4/28/2015,14
4/29/2015,11
4/30/2015,7
5/1/2015,10
5/2/2015,13
5/3/2015,9
5/4/2015,10
5/5/2015,16
5/6/2015,16
5/7/2015,9
5/8/2015,8
5/9/2015,8
5/10/2015,3
5/11/2015,3
5/12/2015,13
5/13/2015,9
5/14/2015,8
5/15/2015,6
5/16/2015,7
5/17/2015,5
5/18/2015,9
5/19/2015,5
5/20/2015,11
5/21/2015,12
5/22/2015,10
5/23/2015,12
5/24/2015,6
5/25/2015,6
5/26/2015,6
5/27/2015,14
5/28/2015,12
5/29/2015,12
5/30/2015,8
5/31/2015,9
6/1/2015,12
6/2/2015,5
6/3/2015,15
6/4/2015,10
6/5/2015,10
6/6/2015,5
6/7/2015,3
6/8/2015,5
6/9/2015,7
6/10/2015,14
6/11/2015,10
6/12/2015,8
6/13/2015,13
6/14/2015,7
6/15/2015,7
6/16/2015,8
6/17/2015,10
6/18/2015,10
6/19/2015,8
6/20/2015,4
6/21/2015,3
6/22/2015,2
6/23/2015,9
6/24/2015,12
6/25/2015,10
6/26/2015,7
6/27/2015,3
6/28/2015,3
6/29/2015,3
6/30/2015,9
7/1/2015,5
7/2/2015,5
7/3/2015,7
7/4/2015,1
7/5/2015,4
7/6/2015,6
7/7/2015,11
7/8/2015,11
7/9/2015,9
7/10/2015,12
7/11/2015,7
7/12/2015,7
7/13/2015,2
7/14/2015,3
7/15/2015,11
7/16/2015,8
7/17/2015,5
7/18/2015,4
7/19/2015,5
7/20/2015,1
7/21/2015,4
7/22/2015,11
7/23/2015,7
7/24/2015,8
7/25/2015,10
7/26/2015,1
7/27/2015,3
7/28/2015,8
7/29/2015,10
7/30/2015,6
7/31/2015,4
8/1/2015,6
8/2/2015,4
8/3/2015,1
8/4/2015,7
8/5/2015,10
8/6/2015,5
8/7/2015,12
8/8/2015,5
8/9/2015,5
8/10/2015,7
8/11/2015,3
8/12/2015,16
8/13/2015,5
8/14/2015,10
8/15/2015,7
8/16/2015,20
8/17/2015,4
8/18/2015,18
8/19/2015,18
8/20/2015,20
8/21/2015,21
8/22/2015,8
8/23/2015,15
8/24/2015,16
8/25/2015,15
8/26/2015,24
8/27/2015,15
8/28/2015,20
8/29/2015,13
8/30/2015,7
8/31/2015,8
9/1/2015,11
9/2/2015,20
9/3/2015,23
9/4/2015,11
9/5/2015,18
9/6/2015,4
9/7/2015,10
9/8/2015,14
9/9/2015,37
9/10/2015,25
9/11/2015,17
9/12/2015,17
9/13/2015,12
9/14/2015,11
9/15/2015,21
9/16/2015,31
9/17/2015,21
9/18/2015,21
9/19/2015,11
9/20/2015,7
9/21/2015,14
9/22/2015,23
9/23/2015,21
9/24/2015,24
9/25/2015,11
9/26/2015,15
9/27/2015,12
9/28/2015,15
9/29/2015,12
9/30/2015,16
10/1/2015,13
10/2/2015,14
10/3/2015,6
10/4/2015,6
10/5/2015,9
10/6/2015,33
10/7/2015,25
10/8/2015,41
10/9/2015,13
10/10/2015,18
10/11/2015,9
10/12/2015,5
10/13/2015,23
10/14/2015,18
10/15/2015,17
10/16/2015,20
10/17/2015,14
10/18/2015,7
10/19/2015,12
10/20/2015,13
10/21/2015,20
10/22/2015,16
10/23/2015,11
10/24/2015,11
10/25/2015,5
10/26/2015,15
10/27/2015,18
10/28/2015,18
10/29/2015,21
10/30/2015,20
10/31/2015,8
11/1/2015,8
11/2/2015,8
11/3/2015,15
11/4/2015,17
11/5/2015,17
11/6/2015,12
11/7/2015,14
11/8/2015,8
11/9/2015,3
11/10/2015,18
11/11/2015,40
11/12/2015,17
11/13/2015,23
11/14/2015,10
11/15/2015,10
11/16/2015,21
11/17/2015,24
11/18/2015,19
11/19/2015,16
11/20/2015,22
11/21/2015,15
11/22/2015,11
11/23/2015,20
11/24/2015,18
11/25/2015,18
11/26/2015,15
11/27/2015,11
11/28/2015,11
11/29/2015,4
11/30/2015,11
12/1/2015,25
12/2/2015,18
12/3/2015,14
12/4/2015,26
12/5/2015,7
12/6/2015,8
12/7/2015,3
12/8/2015,22
12/9/2015,14
12/10/2015,20
12/11/2015,11
12/12/2015,16
12/13/2015,6
12/14/2015,8
12/15/2015,22
12/16/2015,15
12/17/2015,22
12/18/2015,15
12/19/2015,7
12/20/2015,13
12/21/2015,12
12/22/2015,8
12/23/2015,13
12/24/2015,17
12/25/2015,4
12/26/2015,6
12/27/2015,12
12/28/2015,10
12/29/2015,18
12/30/2015,17
12/31/2015,18
1/1/2016,4
1/2/2016,8
1/3/2016,4
1/4/2016,13
1/5/2016,9
1/6/2016,17
1/7/2016,12
1/8/2016,17
1/9/2016,15
1/10/2016,8
1/11/2016,14
1/12/2016,27
1/13/2016,22
1/14/2016,23
1/15/2016,19
1/16/2016,8
1/17/2016,8
1/18/2016,15
1/19/2016,18
1/20/2016,18
1/21/2016,15
1/22/2016,23
1/23/2016,7
1/24/2016,15
1/25/2016,18
1/26/2016,25
1/27/2016,26
1/28/2016,20
1/29/2016,24
1/30/2016,18
1/31/2016,37
2/1/2016,18
2/2/2016,15
2/3/2016,17
2/4/2016,17
2/5/2016,25
2/6/2016,21
2/7/2016,10
2/8/2016,10
2/9/2016,16
2/10/2016,19
2/11/2016,19
2/12/2016,11
2/13/2016,10
2/14/2016,7
2/15/2016,12
2/16/2016,23
