date,number_of_issues,number_of_commits,IS_commit
2/13/2016,10,33,TRUE
2/14/2016,12,25,TRUE
2/15/2016,10,21,TRUE
2/16/2016,17,31,TRUE
2/17/2016,22,47,TRUE
2/18/2016,27,50,TRUE
2/19/2016,27,49,TRUE
2/20/2016,15,38,TRUE
2/21/2016,9,12,TRUE
2/22/2016,13,9,TRUE
2/23/2016,17,37,TRUE
2/24/2016,23,32,TRUE
2/25/2016,7,29,TRUE
2/26/2016,20,60,TRUE
2/27/2016,14,30,TRUE
2/28/2016,10,4,TRUE
2/29/2016,5,11,TRUE
3/1/2016,13,26,TRUE
3/2/2016,15,37,TRUE
3/3/2016,10,26,TRUE
3/4/2016,18,44,TRUE
3/5/2016,4,23,TRUE
3/6/2016,11,17,TRUE
3/7/2016,17,8,TRUE
3/8/2016,14,42,TRUE
3/9/2016,8,23,TRUE
3/10/2016,13,34,TRUE
3/11/2016,11,32,TRUE
3/12/2016,9,30,TRUE
3/13/2016,7,4,TRUE
3/14/2016,15,18,TRUE
3/15/2016,17,47,TRUE
3/16/2016,14,40,TRUE
3/17/2016,7,23,TRUE
3/18/2016,11,49,TRUE
3/19/2016,8,32,TRUE
3/20/2016,8,10,TRUE
3/21/2016,8,13,TRUE
3/22/2016,10,37,TRUE
3/23/2016,19,55,TRUE
3/24/2016,28,62,TRUE
3/25/2016,15,47,TRUE
3/26/2016,16,39,TRUE
3/27/2016,10,7,TRUE
3/28/2016,9,3,TRUE
3/29/2016,15,60,TRUE
3/30/2016,19,29,TRUE
3/31/2016,15,45,TRUE
4/1/2016,16,24,TRUE
4/2/2016,7,23,TRUE
4/3/2016,5,6,TRUE
4/4/2016,17,9,TRUE
4/5/2016,9,25,TRUE
4/6/2016,12,24,TRUE
4/7/2016,19,22,TRUE
4/8/2016,15,30,TRUE
4/9/2016,5,29,TRUE
4/10/2016,8,2,TRUE
4/11/2016,10,7,TRUE
4/12/2016,33,35,TRUE
4/13/2016,38,47,TRUE
4/14/2016,29,30,TRUE
4/15/2016,19,43,TRUE
4/16/2016,15,36,TRUE
4/17/2016,19,8,TRUE
4/18/2016,7,3,TRUE
4/19/2016,12,28,TRUE
4/20/2016,16,31,TRUE
4/21/2016,14,34,TRUE
4/22/2016,14,27,TRUE
4/23/2016,10,17,TRUE
4/24/2016,7,1,TRUE
4/25/2016,16,5,TRUE
4/26/2016,15,32,TRUE
4/27/2016,19,24,TRUE
4/28/2016,22,23,TRUE
4/29/2016,16,31,TRUE
4/30/2016,8,11,TRUE
5/1/2016,8,7,TRUE
5/2/2016,8,14,TRUE
5/3/2016,10,30,TRUE
5/4/2016,14,25,TRUE
5/5/2016,21,34,TRUE
5/6/2016,15,28,TRUE
5/7/2016,10,14,TRUE
5/8/2016,7,5,TRUE
