date, number_of_issues, number_of_pull_requests, number_of_commits
2011-10-27, 0, 0, 6
2011-10-30, 0, 0, 13
2011-11-03, 0, 0, 12
2011-11-04, 0, 0, 10
2011-11-05, 0, 0, 3
2011-11-07, 0, 0, 6
2011-11-08, 0, 0, 9
2011-11-09, 0, 0, 9
2011-11-10, 0, 0, 5
2011-11-14, 0, 0, 11
2011-11-15, 0, 0, 9
2011-11-16, 0, 0, 15
2011-11-17, 0, 0, 10
2011-11-18, 0, 0, 10
2011-11-19, 0, 0, 6
2011-11-20, 0, 0, 1
2011-11-21, 0, 0, 9
2011-11-22, 0, 0, 3
2011-11-23, 0, 0, 4
2011-11-25, 0, 0, 4
2011-11-27, 0, 0, 1
2011-11-30, 0, 0, 7
2011-12-15, 0, 0, 13
2011-12-16, 0, 0, 14
2011-12-20, 0, 0, 1
2011-12-21, 0, 0, 1
2011-12-22, 0, 0, 1
2011-12-23, 0, 0, 2
2011-12-24, 0, 0, 1
2011-12-25, 0, 0, 14
2011-12-27, 0, 0, 5
2011-12-28, 0, 0, 3
2011-12-31, 0, 0, 11
2012-01-01, 0, 0, 19
2012-01-02, 0, 0, 6
2012-01-04, 0, 0, 15
2012-01-07, 0, 0, 9
2012-01-08, 0, 0, 7
2012-01-10, 0, 0, 10
2012-01-14, 0, 0, 2
2012-01-16, 0, 0, 4
2012-01-15, 0, 0, 3
2012-01-20, 0, 0, 3
2012-01-21, 0, 0, 9
2012-01-23, 0, 0, 3
2012-01-24, 0, 0, 13
2012-01-25, 0, 0, 22
2012-01-26, 0, 0, 22
2012-01-29, 0, 0, 5
2012-01-30, 0, 0, 22
2012-02-01, 0, 0, 4
2012-02-02, 0, 0, 2
2012-02-03, 0, 0, 3
2012-02-04, 0, 0, 3
2012-02-09, 0, 0, 8
2012-02-12, 0, 0, 3
2012-02-14, 0, 0, 6
2012-02-17, 0, 0, 3
2012-03-30, 0, 0, 4
2012-04-22, 0, 0, 10
2012-06-15, 0, 0, 2
2012-06-23, 0, 0, 8
2012-07-30, 0, 0, 7
2012-09-10, 0, 0, 18
2012-09-23, 0, 0, 4
2012-09-24, 0, 0, 2
2012-09-28, 0, 0, 1
2012-12-24, 0, 0, 10
2012-12-26, 0, 0, 3
2016-12-26, 0, 0, 1
2011-04-27, 8, 0, 3
2011-05-02, 1, 0, 4
2011-05-03, 3, 0, 5
2011-05-04, 1, 0, 11
2011-05-09, 4, 0, 8
2011-05-10, 1, 0, 1
2011-05-12, 3, 0, 11
2011-05-13, 1, 0, 3
2011-05-21, 1, 0, 3
2011-05-28, 1, 0, 7
2011-05-29, 2, 0, 4
2011-06-01, 2, 0, 2
2011-06-02, 2, 0, 2
2011-06-03, 1, 0, 10
2011-06-04, 3, 0, 5
2011-06-06, 1, 0, 9
2011-06-07, 1, 0, 5
2011-06-09, 1, 0, 20
2011-06-10, 2, 0, 10
2011-06-11, 2, 0, 17
2011-06-13, 2, 0, 13
2011-06-14, 3, 0, 23
2011-06-15, 6, 0, 14
2011-06-17, 5, 0, 0
2011-06-18, 3, 0, 6
2011-06-19, 3, 0, 17
2011-06-20, 3, 0, 10
2011-06-21, 6, 0, 8
2011-06-22, 7, 0, 16
2011-06-23, 3, 0, 27
2011-06-24, 2, 0, 16
2011-06-25, 3, 0, 12
2011-06-26, 1, 0, 2
2011-06-28, 1, 0, 6
2011-06-29, 2, 0, 15
2011-06-30, 2, 0, 8
2011-07-03, 1, 0, 9
2011-07-07, 1, 0, 8
2011-07-08, 7, 0, 29
2011-07-09, 3, 0, 27
2011-07-10, 1, 0, 34
2011-07-11, 1, 0, 25
2011-07-12, 2, 0, 31
2011-07-14, 1, 0, 6
2011-07-15, 10, 0, 8
2011-07-16, 7, 0, 11
2011-07-17, 3, 0, 2
2011-07-18, 3, 0, 40
2011-07-19, 5, 0, 53
2011-07-20, 2, 0, 11
2011-07-22, 8, 0, 36
2011-07-23, 1, 0, 10
2011-07-24, 3, 0, 9
2011-07-25, 5, 0, 34
2011-07-26, 1, 0, 19
2011-07-29, 1, 0, 24
2011-07-31, 5, 0, 16
2011-08-01, 1, 0, 5
2011-08-03, 1, 0, 2
2011-08-04, 1, 0, 8
2011-08-05, 1, 0, 18
2011-08-11, 2, 0, 8
2011-08-12, 2, 0, 13
2011-08-13, 1, 0, 3
2011-08-14, 1, 0, 7
2011-08-16, 1, 0, 18
2011-08-17, 6, 0, 11
2011-08-20, 1, 0, 29
2011-08-21, 1, 0, 3
2011-08-22, 3, 0, 19
2011-08-24, 1, 0, 11
2011-08-28, 1, 0, 2
2011-09-02, 1, 0, 9
2011-09-03, 3, 0, 2
2011-09-04, 1, 0, 8
2011-09-05, 1, 0, 3
2011-09-06, 1, 0, 5
2011-09-07, 1, 0, 4
2011-09-15, 1, 0, 3
2011-09-18, 1, 0, 6
2011-09-19, 1, 0, 2
2011-09-21, 4, 0, 9
2011-09-22, 1, 0, 5
2011-10-05, 1, 0, 5
2011-10-11, 1, 0, 0
2011-10-12, 5, 0, 15
2011-10-13, 2, 0, 42
2011-10-14, 2, 0, 13
2011-10-15, 7, 0, 15
2011-10-16, 3, 0, 11
2011-10-17, 7, 0, 19
2011-10-18, 3, 0, 24
2011-10-20, 1, 0, 14
2011-10-23, 2, 0, 9
2011-10-25, 1, 0, 6
2011-10-28, 2, 0, 12
2011-10-29, 3, 0, 9
2011-10-31, 2, 0, 14
2011-11-01, 1, 0, 2
2011-11-02, 8, 0, 17
2011-11-06, 1, 0, 15
2011-11-11, 2, 0, 6
2011-11-12, 4, 0, 11
2011-11-13, 1, 0, 7
2011-11-24, 1, 0, 2
2011-11-26, 2, 1, 2
2011-11-28, 1, 1, 11
2011-11-29, 1, 0, 27
2011-12-01, 4, 0, 44
2011-12-02, 2, 0, 25
2011-12-03, 2, 1, 15
2011-12-04, 5, 0, 24
2011-12-05, 1, 0, 15
2011-12-06, 4, 1, 11
2011-12-07, 5, 1, 31
2011-12-08, 1, 0, 22
2011-12-09, 3, 0, 13
2011-12-10, 3, 0, 15
2011-12-11, 2, 0, 17
2011-12-12, 4, 1, 35
2011-12-13, 3, 0, 20
2011-12-14, 7, 1, 19
2011-12-17, 2, 1, 11
2011-12-18, 2, 1, 10
2011-12-19, 3, 1, 9
2011-12-26, 1, 0, 18
2011-12-29, 1, 0, 10
2011-12-30, 1, 0, 7
2012-01-03, 3, 0, 27
2012-01-05, 2, 0, 35
2012-01-06, 2, 0, 14
2012-01-09, 2, 0, 17
2012-01-11, 1, 0, 9
2012-01-12, 1, 0, 15
2012-01-13, 5, 0, 10
2012-01-17, 4, 0, 10
2012-01-18, 3, 0, 9
2012-01-19, 1, 0, 8
2012-01-22, 1, 0, 6
2012-01-27, 2, 0, 6
2012-01-28, 4, 0, 18
2012-01-31, 1, 0, 6
2012-02-05, 1, 0, 2
2012-02-06, 1, 0, 15
2012-02-07, 1, 0, 10
2012-02-08, 1, 0, 1
2012-02-10, 2, 1, 9
2012-02-11, 2, 0, 8
2012-02-15, 1, 0, 4
2012-02-16, 1, 1, 3
2012-02-18, 19, 1, 5
2012-02-19, 17, 6, 29
2012-02-20, 22, 8, 40
2012-02-21, 13, 3, 17
2012-02-22, 13, 3, 15
2012-02-23, 5, 4, 10
2012-02-24, 4, 3, 9
2012-02-25, 5, 1, 6
2012-02-26, 7, 4, 39
2012-02-27, 6, 3, 21
2012-02-28, 15, 5, 15
2012-02-29, 3, 3, 20
2012-03-01, 6, 3, 9
2012-03-02, 4, 1, 16
2012-03-03, 3, 2, 18
2012-03-04, 11, 7, 34
2012-03-05, 6, 2, 27
2012-03-06, 7, 4, 18
2012-03-07, 8, 2, 23
2012-03-08, 8, 1, 33
2012-03-09, 9, 2, 16
2012-03-10, 4, 2, 42
2012-03-11, 8, 2, 26
2012-03-12, 3, 0, 10
2012-03-13, 5, 1, 12
2012-03-14, 8, 5, 15
2012-03-15, 10, 2, 30
2012-03-16, 2, 2, 32
2012-03-17, 4, 1, 44
2012-03-18, 4, 2, 38
2012-03-19, 8, 4, 40
2012-03-20, 3, 1, 14
2012-03-21, 10, 6, 26
2012-03-22, 6, 2, 15
2012-03-23, 1, 0, 7
2012-03-24, 5, 2, 12
2012-03-25, 1, 1, 17
